loss,grad_norm,learning_rate,num_tokens,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_num_tokens,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.5226795196533205,2.146294355392456,0.0002,18741.0,0.042105263157894736,10,,,,,,,,,,
1.2019155502319336,0.5948193073272705,0.0002,37221.0,0.08421052631578947,20,,,,,,,,,,
1.006098747253418,0.5593946576118469,0.0002,57032.0,0.12631578947368421,30,,,,,,,,,,
0.8760637283325196,1.906963586807251,0.0002,77730.0,0.16842105263157894,40,,,,,,,,,,
0.8282967567443847,0.5400192141532898,0.0002,97270.0,0.21052631578947367,50,,,,,,,,,,
0.6570860385894776,0.39213722944259644,0.0002,114541.0,0.25263157894736843,60,,,,,,,,,,
0.760673713684082,0.4314253628253937,0.0002,134153.0,0.29473684210526313,70,,,,,,,,,,
0.9092329025268555,0.34099480509757996,0.0002,156779.0,0.3368421052631579,80,,,,,,,,,,
0.7307036399841309,0.3241935968399048,0.0002,176144.0,0.37894736842105264,90,,,,,,,,,,
0.7868190288543702,0.891614556312561,0.0002,196421.0,0.42105263157894735,100,,,,,,,,,,
0.7291372299194336,0.39457395672798157,0.0002,216278.0,0.4631578947368421,110,,,,,,,,,,
0.8057118415832519,0.26161932945251465,0.0002,237974.0,0.5052631578947369,120,,,,,,,,,,
0.7611127376556397,0.30258482694625854,0.0002,258099.0,0.5473684210526316,130,,,,,,,,,,
0.652593469619751,0.29494616389274597,0.0002,276103.0,0.5894736842105263,140,,,,,,,,,,
0.7543340682983398,0.29523766040802,0.0002,296006.0,0.631578947368421,150,,,,,,,,,,
0.7615369319915771,0.3216238021850586,0.0002,315208.0,0.6736842105263158,160,,,,,,,,,,
0.804375171661377,0.322321355342865,0.0002,336789.0,0.7157894736842105,170,,,,,,,,,,
0.7276214122772217,0.31136539578437805,0.0002,355565.0,0.7578947368421053,180,,,,,,,,,,
0.870241928100586,0.30595308542251587,0.0002,378150.0,0.8,190,,,,,,,,,,
0.7441186904907227,0.28484484553337097,0.0002,398142.0,0.8421052631578947,200,,,,,,,,,,
0.773295783996582,0.27952536940574646,0.0002,419206.0,0.8842105263157894,210,,,,,,,,,,
0.62679123878479,0.24481415748596191,0.0002,437140.0,0.9263157894736842,220,,,,,,,,,,
0.7751054286956787,0.2083493322134018,0.0002,457723.0,0.968421052631579,230,,,,,,,,,,
,,,,1.0,238,0.7074922919273376,77.8641,1.284,1.284,472044.0,,,,,
,,,,1.0,238,,,,,,12634.9395,0.15,0.019,3.1208809279832064e+16,0.9076047123981124
